Inventory Type,Sectors Sector,Category Full,Category Label,Source Full,Source Label,Source Units,CY 2005 Consumed,CY 2005 tCO2e (100 yr GWP),CY 2005 Source MMBtu,CY 2005 tCO2e 20 yr GWP,CY 2006 Consumed,CY 2006 tCO2e (100 yr GWP),CY 2006 Source MMBtu,CY 2006 tCO2e 20 yr GWP,CY 2007 Consumed,CY 2007 tCO2e (100 yr GWP),CY 2007 Source MMBtu,CY 2007 tCO2e 20 yr GWP,CY 2008 Consumed,CY 2008 tCO2e (100 yr GWP),CY 2008 Source MMBtu,CY 2008 tCO2e 20 yr GWP,CY 2009 Consumed,CY 2009 tCO2e (100 yr GWP),CY 2009 Source MMBtu,CY 2009 tCO2e 20 yr GWP,CY 2010 Consumed,CY 2010 tCO2e,CY 2010 Source MMBtu,CY 2010 tCO2e 20 yr GWP,CY 2011 Consumed,CY 2011 tCO2e,CY 2011 Source MMBtu,CY 2011 tCO2e 20 yr GWP,CY 2012 Consumed,CY 2012 tCO2e,CY 2012 Source MMBtu,CY 2012 tCO2e 20 yr GWP,CY 2013 Consumed,CY 2013 tCO2e,CY 2013 Source MMBtu,CY 2013 tCO2e 20 yr GWP,CY 2014 Consumed,CY 2014 tCO2e,CY 2014 Source MMBtu,CY 2014 tCO2e 20 yr GWP,CY 2015 Consumed,CY 2015 tCO2e,CY 2015 Source MMBtu,CY 2015 tCO2e 20 yr GWP,CY 2016 Consumed,CY 2016 tCO2e,CY 2016 Source MMBtu,CY 2016 tCO2e 20 yr GWP,CY 2017 Consumed,CY 2017 tCO2e,CY 2017 Source MMBtu,CY 2017 tCO2e 20 yr GWP,CY 2018 Consumed,CY 2018 tCO2e,CY 2018 Source MMBtu,CY 2018 tCO2e 20 yr GWP,CY 2019 Consumed,CY 2019 tCO2e,CY 2019 Source MMBtu,CY 2019 tCO2e 20 yr GWP,CY 2020 Consumed,CY 2020 tCO2e,CY 2020 Source MMBtu,CY 2020 tCO2e 20 yr GWP,CY 2021 Consumed,CY 2021 tCO2e,CY 2021 Source MMBtu,CY 2021 tCO2e 20 yr GWP,CY 2022 Consumed,CY 2022 tCO2e,CY 2022 Source MMBtu,CY 2022 tCO2e 20 yr GWP,2005 - 2022 % change Consumed,2005 - 2022 % change tCO2e,2005 - 2022 % change Source MMBtu,2005 - 2022 % change tCO2e 20 yr GWP
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,146645995.87,1517199.47,20439518.9,1550857.66,123651982.44,1279303.41,17234613.31,1307684.01,142240147.96,1471616.57,19825431.82,1504263.53,131107009.25,1356433.12,18273694.95,1386524.8,146483621.5,1515519.55,20416887.16,1549140.47,141176974.44,1460616.98,19677246.7,1493019.92,138166876.57,1429474.5,19257699.26,1461186.57,125207366.44,1295395.41,17451402.73,1324133.01,160324833.76,1658720.73,22346075.33,1695518.49,122982866.62,1272380.74,17141351.95,1300607.77,160363033.9,1659115.95,22351399.66,1695922.47,122583830.04,1268252.31,17085734.23,1296387.75,105767349.32,1094269,14741853.15,1118544.72,134471590.33,1391243.07,18742650.26,1422106.99,136255620.5,1409700.65,18991308.38,1440974.04,97015873.57,1003726.23,13522072.46,1025993.31,94453737.87,977218.37,13164961.98,998897.39,105948850.49,1096146.81,14767150.78,1120464.19,-27.75,-27.75,-27.75,-27.75
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,77860780.31,856170.38,11481350.66,858081.86,65022633.96,714999.94,9588237.6,716596.24,75099917.57,825811.46,11074233.85,827655.16,64175239.61,705681.84,9463280.83,707257.35,77040974.01,847155.65,11360462.03,849047,76167717.24,837553.17,11231691.58,839423.08,73887257.69,812476.85,10895415.02,814290.78,73319446.2,806233.09,10811685.54,808033.09,87782041.07,965266.25,12944339.78,967421.3,53636327.46,589794.17,7909212.85,591110.95,94126768.83,1035033.95,13879933.33,1037344.76,68898336.48,757617.82,10159748.7,759309.27,73860750.68,812185.37,10891506.3,813998.65,65745104.32,722944.34,9694773.08,724558.39,57086798.88,627736.15,8418019.36,629137.63,37052732.59,407438.15,5463795.95,408347.79,43837331.57,482042.75,6464252.91,483118.96,40549909.74,445893.7,5979489.69,446889.2,-47.92,-47.92,-47.92,-47.92
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,193846082.8,2191711.04,29367681.54,2196578.52,163766139.67,1851613.67,24810570.16,1855725.84,203141455.35,2296808.71,30775930.48,2301909.59,177479668.92,2006665,26888169.84,2011121.52,202597911.87,2290663.16,30693583.65,2295750.39,192084422.87,2171792.92,29100790.06,2176616.16,180323582.12,2038819.57,27319022.69,2043347.49,140702305.15,1590843.58,21316399.23,1594376.61,104423928.76,1180663.93,15820225.21,1183286.01,27329254.41,308996.85,4140382.04,309683.09,12693209.12,143515.13,1923021.18,143833.86,1699774.58,19218.42,257515.85,19261.1,939792.25,10625.71,142378.53,10649.31,4255989.21,48120.13,644782.37,48227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,719495.07,4.73,93016.32,10.36,1490342.87,9.79,192671.53,21.46,1745069.88,11.47,225602.63,25.13,1421342.93,9.34,183751.21,20.47,2148484.42,14.12,277756.07,30.94,1433903.4,9.42,185375.03,20.65,2338460.09,15.36,302316.12,33.67,7018076.62,46.11,907296.95,101.06,10050483.63,66.03,1299326.52,144.73,6760601.49,44.42,874010.56,97.35,8794187.26,57.78,1136912.53,126.64,7388132.72,48.54,955137.8,106.39,11668446.98,76.66,1508496.83,168.03,14552092.1,95.61,1881294.47,209.55,16147022.79,106.09,2087487.11,232.52,14509638.81,95.33,1875806.11,208.94,12062335.43,79.25,1559418.72,173.7,12529004.93,82.32,1619749.76,180.42,1641.36,1640.38,1641.36,1641.51
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,14168364733.94,7058136.66,123273274.2,7068480.99,13052549911.67,5484609.68,113565015.76,5491735.07,13631341906.22,5783158.14,118600853.39,5790677.19,14479576692,5513523.08,125981004.97,5520622.41,15017935746,5026476.06,130665051.75,5032837.66,16246085145.17,5550419.75,141350688.41,5557210.62,16163973377.1,5007826.86,140636266.76,5013417.98,15962572177.07,5184113.49,138883955.48,5190263.86,15658135234.5,4667425.49,136235171.42,4672847.9,15056362253.46,4915571.04,130999385.42,4921540.88,15705500653.28,5010081.41,136647278.98,5016222.26,15452546914.5,4958238.64,134446429.68,4964280.59,15430213717.66,4324533.42,134252117.47,4329447.94,15882302313.65,4908552.59,138185559.51,4914321.04,15414984037.68,4462329.58,134119610.12,4467240.79,14577247613.58,4219821.64,126830800.59,4224465.95,14622450805.55,4801106.85,127224095.48,4806199.89,14487223970.25,4681763.73,126047540.88,4686785.01,2.25,-33.67,2.25,-33.69
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,164840051823.53,8983014.67,177582187.83,8992506.16,156690514277.53,8538902.85,168802691.03,8547925.09,172612235260.26,9406562.45,185955161.05,9416501.46,140712584224.4,7668180.12,151589666.98,7676282.35,138210347563.96,7531819.88,148894007.43,7539778.03,156854670084.42,8547848.58,168979536.08,8556880.27,163122617151.33,8889422.48,175731995.46,8898815.08,147155810320.07,8019305.92,158530954.46,8027779.15,75385413471.51,4108153.74,81212705.93,4112494.43,180249523909.04,9822759.09,194182812.11,9833137.86,177354752086.9,9665007.52,191064274.42,9675219.6,190288200910.23,10369820.21,204997478.84,10380777,181809058825.62,9907746.48,195862899.07,9918215.04,193033693881.09,10519436.78,207955198.42,10530551.66,188512555543.6,10273055.81,203084576.09,10283910.36,179289161755.73,9770423.83,193148213.96,9780747.3,177712778152.27,9684518.27,191449975.9,9694750.97,182956559804.02,9970279.93,197099101.88,9980814.57,10.99,10.99,10.99,10.99
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,1998982583.67,332170.31,6314357.94,332763.19,1977435937.02,263337.42,6246296.7,263793.45,1956570687.99,270323.7,6180387.84,270793.35,2815676055.57,372752.59,8894117.74,373370.35,2699100715.2,385530.54,8525881.2,386180.51,2684576093.92,329450.67,8480001.03,329972.15,2630897883.47,323143.06,8310443.06,323613.01,2487032107.53,255842.12,7856001.88,256192.37,2914003579,306006.48,9204713.33,306408.96,2914003579,322741.27,9204713.33,323128.19,2671762179.88,286270.18,8439524.62,286617.68,2733212560.51,270730.85,8633633.21,271031.47,2713815385.9,250268.82,8572361.69,250546.59,2987013020.16,315402.06,9435334.52,315761.02,2800861783.12,285361.97,8847322.62,285675.99,2405299009.16,245060.6,7597824.52,245330.27,2259731654.32,190067.35,7138008.42,190327.48,2269367374.32,215187.49,7168445.59,215429.44,13.53,-35.22,13.53,-35.26
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,14168364733.94,0,123273274.2,4584251.57,13052549911.67,0,113565015.76,5065091.24,13631341906.22,0,118600853.39,4740843.21,14479576692,0,125981004.97,5035850.71,15017935746,0,130665051.75,4880495.1,16246085145.17,0,141350688.41,5130933.92,16163973377.1,0,140636266.76,5437688.63,15962572177.07,0,138883955.48,5238557.78,15658135234.5,0,136235171.42,4567466.48,15056362253.46,0,130999385.42,4107844.27,15705500653.28,0,136647278.98,3937711.09,15452546914.5,0,134446429.68,3864256.48,15430213717.66,0,134252117.47,3349558.28,15882302313.65,0,138185559.51,3579615.13,15414984037.68,0,134119610.12,3412307.56,14577247613.58,0,126830800.59,3226863.68,14622450805.55,0,127224095.48,3728473.22,14487223970.25,0,126047540.88,3637294.28,2.25,0,2.25,-20.66
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,1998982583.67,0,6314357.94,96759.32,1977435937.02,0,6246296.7,214430.6,1956570687.99,0,6180387.84,208600.63,2815676055.57,0,8894117.74,312558.31,2699100715.2,0,8525881.2,279724.13,2684576093.92,0,8480001.03,270544.83,2630897883.47,0,8310443.06,300284.04,2487032107.53,0,7856001.88,236386.95,2914003579,0,9204713.33,303977.16,2914003579,0,9204713.33,286617.1,2671762179.88,0,8439524.62,232815.97,2733212560.51,0,8633633.21,238318.76,2713815385.9,0,8572361.69,202108.2,2987013020.16,0,9435334.52,237356.84,2800861783.12,0,8847322.62,217498.3,2405299009.16,0,7597824.52,186781.25,2259731654.32,0,7138008.42,148008.13,2269367374.32,0,7168445.59,158606.02,13.53,0,13.53,63.92
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,164840051823.53,0,177582187.83,7132140.36,156690514277.53,0,168802691.03,6779534.03,172612235260.26,0,185955161.05,7468419.7,140712584224.4,0,151589666.98,6088216.37,138210347563.96,0,148894007.43,5979952.01,156854670084.42,0,168979536.08,6786636.57,163122617151.33,0,175731995.46,7057832.06,147155810320.07,0,158530954.46,6366995.66,75385413471.51,0,81212705.93,3261703.36,180249523909.04,0,194182812.11,7798862.54,177354752086.9,0,191064274.42,7673614.34,190288200910.23,0,204997478.84,8233206.33,181809058825.62,0,195862899.07,7866338.99,193033693881.09,0,207955198.42,8351995.67,188512555543.6,0,203084576.09,8156379.42,179289161755.73,0,193148213.96,7757310.52,177712778152.27,0,191449975.9,7689105.07,182956559804.02,0,197099101.88,7915987.96,10.99,0,10.99,10.99
